COMP1511|5211975|Ni Ray, Hugo Anthony Tristan                      |3133/5|COMPER|067.452|23T2|19980402|M
COMP9444|5224947|Kim, Henry Arjun                                  |3778/3|ENGGAH|068.581|23T2|20020104|M
COMP9311|5256597|Chen, William Jia Steve                           |8543|COMPA1|055.809|23T2|19991220|M
COMP9319|5259110|Ngo, Oliver Yuxuan                                |3785/3|COMPAS COMPSS|045.381|23T2|19970623|M
COMP9444|5276521|Li, Alice Sarah Yuxin                             |3778/2|SENGAH|037.540|23T2|19911106|F
COMP9021|5283575|Chen, Thomas Ran                                  |8543|COMPA1|073.518|23T2|19900314|M
DPBS1100|5273499|Wang, Thomas                                      |3778/3|COMPA1|085.507|23T2|20040402|M
COMP2511|5216304|Ly, Yue Ken Jerry                                 |3966/1|HDATAS|059.081|23T2|20030105|M
DPHU1003|5276118|Wang, Angela Karen Angela                         |8543|COMPA1|071.881|23T2|19990420|F
COMP1511|5223124|Zhou, Jonathan Felix Chen                         |8543|COMPA1|045.077|23T2|20050303|M
COMP2041|5255784|Wang, Yuxin Yuxin                                 |1650|COMPA1 FINSA1|048.654|23T2|19990902|F
COMP3151|5247513|Fang, Harry Kevin                                 |3674/1|BINFB1 SENGAH|071.707|23T2|20041202|M
COMP9319|5280347|Lu Lachlan, Eric                                  |8543|COMPAS|074.916|23T2|20010630|M
DPBS1180|5237960|Huang, Andrew Paul                                |7004/1|COMPAS|053.753|23T2|19990306|M
COMP4951|5238247|Yang, Bohan                                       |3959/3|COMPI1|057.772|23T2|20050812|M
COMP9417|5221323|Li, Nicole Jennifer                               |8543|COMPA1|084.551|23T2|19990125|F
COMP2511|5273045|Zhang, Kevin Jiahao Jimmy Nikhil                  |3707/1|COMPA1|017.141|23T2|20031020|M
COMP1511|5275287|Kim Megan, Yuxin Jenny Lara Michelle              |3791/4|PSYCA1|014.158|23T2|20040123|F
COMP1531|5278502|Sheng Christopher, William Ran                    |3674/3|NAPPL-|018.646|23T2|19950322|M
COMP1511|5203444|Ly, Chen Nicholas Tsz                             |8411/1|COMPAS COMPIS|070.396|23T2|20040426|M
COMP2041|5253031|Lu, Joshua Raymond                                |3778/2|COMPCS|060.909|23T2|19981014|M
COMP1521|5219221|Lin Daniel, Jimmy Yuan Chen                       |3778/2|COMPAS|057.249|23T2|20020914|M
COMP9020|5299225|Patel, Yuxuan Eugene                              |3959/1|COMPZ1|048.026|23T2|20040525|M
COMP9020|5245367|Liu, Jason Haoran                                 |3707/1|COMPA1|072.822|23T2|20010928|M
COMP3141|5289217|Yang, Yi Dylan Xingyu                             |7543|ELECAH|071.076|23T2|20011020|M
COMP3900|5279577|Zheng, Hao Thomas                                 |3778/1|COMPCS|054.509|23T2|20030129|M
COMP6733|5299474|Zhang, Adam Bowen Tom                             |3707/1|COMPA1|051.135|23T2|19961219|M
COMP1511|5249953|Zhang, Xin                                        |3785/4|SENGAH|074.001|23T2|20020915|F
DPBS1170|5273616|Mei, Yifan Sean Jiawei                            |3764/2|DPBSA1|045.647|23T2|20030418|M
COMP9044|5210173|Hoang, Mark                                       |7003/1|MATHA1|050.790|23T2|20000816|M
COMP9044|5256410|Hou Evan, Maximilian Angus Jin                    |8338|BIOCM1 COMPI1|098.913|23T2|19990714|M
COMP2521|5285018|Song, Md                                          |3784/4|SENGAH|058.946|23T2|19970228|M
COMP3151|5267233|Huynh Zixuan, Joyce Tiffany Xin                   |3785/5|COMMJ1 COMPA1|036.326|23T2|19980209|F
COMP9313|5232143|Ding, Jenny Emma Sophia                           |3707/4|ACTLD1|082.399|23T2|20040813|F
DPHU1001|5280585|Wu, John Mohammad                                 |3778/1|COMPA1|065.013|23T2|20050510|M
COMP9414|5201822|Zhang, Kevin                                      |8543|COMPA1|054.767|23T2|20010625|M
COMP9417|5268756|Liu, Emma Sophia                                  |8543|COMPA1|080.794|23T2|20000907|F
COMP9414|5202036|Xu, Amy Yuhan                                     |3778/2|COMPA1|069.755|23T2|20040101|F
COMP9313|5280248|Yang, Adam Ben Mohammed                           |3778/3|SENGAH|046.584|23T2|20030423|M
COMP1531|5297901|Lee, Jason Calvin Mitchell                        |3707/2|COMPA1|038.042|23T2|20050504|M
DPHU1001|5203240|Yuan Evan, Thomas Paul Gabriel Joshua             |4515/1|ENGGAH|094.547|23T2|20050315|M
COMP1521|5295517|Qian, Jiacheng                                    |3782/2|COMPAS COMPCS|081.837|23T2|19950923|M
COMP3121|5252728|Qiao Andre, Jun Antonio Timothy                   |3768/1|DPHUB1|044.253|23T2|20030810|M
COMP9444|5275477|Nguyen Winnie, Rachel                             |3707/1|COMPA1|061.380|23T2|19990623|F
COMP3121|5250547|Peng Lucas, Andrew                                |3707/2|COMPA1 MATHT1|061.573|23T2|20020123|M
COMP2041|5231278|Chen, Eric Yuan Victor Steve                      |8543|COMPA1|016.973|23T2|20001207|M
DPST1091|5224600|Yeh, Jake Jimmy Bohan                             |3961/1|ADMNKN|025.092|23T2|20011007|M
COMP3141|5283774|Wen, Hugo                                         |3784/2|COMPA1 FINSA1|044.389|23T2|19981123|M
COMP9312|5202390|Wang, Kevin                                       |8543|COMPA1|032.764|23T2|20031204|M
COMP1911|5212848|Luo, Leo Aiden                                    |7543|COMPSS|044.476|23T2|20000908|M
BIOM4952|5238781|Qin, Benjamin Laurence                            |3785/2|BIOMDS|070.179|23T2|20050220|M
DPBS1180|5249634|Bai, Cindy Winnie                                 |3778/3|COMPCS|086.770|23T2|19960917|F
COMP3331|5244525|Xu, Max                                           |3707/1|SENGAH|061.106|23T2|19980813|M
DPBS1150|5267275|Yu, Danny Wei                                     |3784/1|COMPER|094.485|23T2|19981014|M
COMP3121|5203317|Wu Jing, Annie                                    |3778/1|COMPAS|035.214|23T2|19990530|F
DPGE1002|5274553|Du, Tara Sophie Kelly                             |3781/1|DPENX1|043.724|23T2|20030719|F
COMP9900|5246511|Wang, Adam Alex Kelvin                            |3778/3|COMPA1|074.953|23T2|19980702|M
DPST1021|5228250|Ly, Katherine                                     |3785/2|ACTLD1 FINSA1|053.793|23T2|19960228|F
DPGE1002|5262455|Lin, Olivia Cindy Amanda                          |3778/1|COMPA1|092.132|23T2|20001001|F
DPHU1005|5283603|Zhang, Kelly                                      |8543|COMPA1|052.357|23T2|20050617|F
COMP1531|5249905|Tran, Ken Chao                                    |3768/4|DPHUD1|023.350|23T2|20000221|M
COMP9313|5237477|Zhu, Yuhan Vanessa Christine                      |3781/1|COMPA1 MINEAH|077.993|23T2|20021010|F
COMP3900|5253208|Lee, Yifan Jiahao                                 |3785/3|MTRNAH|042.777|23T2|20031211|M
COMP1511|5221079|Chen, Ryan Nathaniel                              |3707/1|COMPA1|041.292|23T2|19981205|M
COMP2041|5222853|Yang, Benjamin Simon Cooper                       |3778/1|COMPA1|084.053|23T2|20020921|M
COMP1511|5222927|Huynh, Alice Katherine                            |3707/1|COMPA1 FINSA1|080.053|23T2|20000321|F
COMP1531|5235933|Guo, Alexander                                    |3778/2|COMPAS|094.157|23T2|20040922|M
COMP9444|5209774|Cai, Jake Joshua                                  |7003/1|DPENO1|060.086|23T2|20020707|M
COMP1531|5217022|Chu, Mohammed Raymond Jin                         |3674/3|BIOMAR|029.236|23T2|20000129|M
COMP1521|5235243|Ye, Calvin Tristan Tsz                            |8338|UNDL-U|064.836|23T2|20000723|M
COMP1521|5289715|Jain, Benjamin Varun                              |3785/1|COMPCS|091.631|23T2|20040606|M
COMP9044|5285762|Ha, Joshua Brandon                                |3778/1|COMPA1 ELECAH|036.674|23T2|20021120|M
COMP3511|5210662|Pan, Jordan Henry Derek                           |3673/1|COMPZ1|085.169|23T2|20030226|M
DPGE1002|5263955|Pham, Zheng Tony                                  |3707/1|COMPAS|052.000|23T2|20020826|M
COMP9044|5286775|Chan, Vincent Edward                              |7004/1|MTRNAH|035.270|23T2|20000622|M
COMP2041|5287225|Liu, Ethan Aditya Ricky Rui                       |8543|COMPA1|073.817|23T2|19991107|M
COMP2041|5258209|Sun, Michael Evan Liam Harrison                   |8543|SENGAH|031.335|23T2|19961111|M
COMP1511|5266504|Wang, Daniel Callum Ruiqi                         |8543|COMPA1|067.804|23T2|20001008|M
COMP1521|5291007|Wang, Ryan Ruiqi Harry                            |8543|COMPA1|095.172|23T2|20040805|M
COMP6452|5212690|Guo, James Christopher                            |8543|SENGAH|083.343|23T2|19850406|M
DPGE1003|5267004|Huang, Ethan Angus Sean Md                        |7004/1|COMPBH|053.468|23T2|19930413|M
BIOM9001|5261923|Wong, Chris Ethan Jonathan Jiawei                 |3778/1|DPBSA1|092.798|23T2|20020425|M
COMP9414|5259543|Jin Geoffrey, Rohan Andy                          |3784/3|BIOMDS SENGAH|026.936|23T2|20021015|M
COMP2521|5279601|Chen, Hao Lachlan                                 |3707/2|COMPSS|021.550|23T2|19980318|M
COMP1521|5238549|Wu Jerry, Ryan                                    |3778/1|COMPAS|087.683|23T2|20010124|M
COMP9024|5269617|Chen, Annie Jing                                  |3785/1|UNDL-U|065.400|23T2|19890213|F
COMP3151|5269234|Wang, William                                     |8543|COMPA1|048.125|23T2|19981208|M
COMP3151|5243878|Tran, Oliver Lawrence                             |7006/1|COMPI1|098.568|23T2|20010531|M
COMP1511|5253857|Lin, Vincent Yuhao Aaron                          |3674/4|SENGAH|079.739|23T2|19991224|M
DPGE1001|5276058|Qiu, Mark Paul Tim                                |3768/4|DPENX1|090.413|23T2|19980724|M
COMP2521|5258271|Truong, Rahul Callum                              |3707/2|MATHP1 SENGAH|052.392|23T2|19990330|M
COMP9901|5252204|Wu, Olivia                                        |8543|COMPA1|077.640|23T2|20010316|F
COMP9517|5237381|Guo, Joseph Eugene                                |3778/2|COMPAS|079.614|23T2|20001020|M
DPBS1190|5235601|Tan, Md                                           |3761/1|COMPA1 INFSA1|058.116|23T2|19990907|M
COMP9021|5290620|Liu, Sophia Lucy                                  |8543|COMPA1|097.748|23T2|20000910|F
COMP9517|5242331|Wang, Matthew Varun Patrick                       |3778/3|COMPA1|039.057|23T2|20011221|M
COMP9517|5231758|Chu, Anthony Ivan                                 |7543|ELECCH|096.856|23T2|19980902|M
DPST1072|5283080|Zhang, Emily Karen                                |8543|COMPA1|046.967|23T2|19960225|F
COMP1511|5271077|Chan, Jake Felix Rahul Ze Maximilian              |4515/1|DPENB1|070.577|23T2|20040602|M
COMP2521|5205399|Yang, Joseph                                      |8543|UNDL-U|072.890|23T2|20050608|M
DPBS1100|5267311|Zhou, Joyce Angela Charlotte                      |3673/3|MATHFS|028.512|23T2|19880318|F
COMP3511|5275226|Song, Justin Lachlan                              |3789/4|CVENAH|033.485|23T2|19981102|M
